Age,Education_Level,Occupation,Number_of_Dependents,Location,Work_Experience,Marital_Status,Employment_Status,Household_Size,Homeownership_Status,Type_of_Housing,Gender,Primary_Mode_of_Transportation,Income
42,Master's,Technology,4,Rural,30,Single,Full-time,4,Own,Apartment,Male,Walking,75286
32,Master's,Healthcare,3,Urban,1,Married,Full-time,3,Own,Apartment,Male,Public transit,92291
24,High School,Healthcare,4,Urban,17,Married,Full-time,4,Rent,Apartment,Male,Walking,65648
65,Bachelor's,Finance,1,Suburban,14,Single,Full-time,7,Rent,Single-family home,Female,Public transit,66142
54,High School,Healthcare,0,Suburban,18,Married,Part-time,3,Own,Single-family home,Male,Walking,9752270
21,High School,Technology,3,Urban,15,Married,Full-time,7,Own,Apartment,Female,Walking,71618
60,Bachelor's,Technology,0,Urban,16,Married,Self-employed,7,Rent,Apartment,Male,Car,7119340
62,Bachelor's,Finance,2,Rural,3,Married,Part-time,3,Rent,Single-family home,Female,Public transit,74622
21,High School,Education,5,Urban,24,Single,Full-time,4,Own,Apartment,Female,Public transit,1134122
33,Bachelor's,Education,4,Urban,43,Single,Part-time,5,Own,Single-family home,Female,Walking,69830
68,High School,Education,0,Urban,1,Married,Self-employed,3,Rent,Apartment,Female,Biking,54266
41,Master's,Education,0,Urban,48,Divorced,Full-time,6,Rent,Townhouse,Male,Public transit,67970
30,High School,Finance,4,Urban,30,Single,Full-time,7,Own,Apartment,Male,Biking,68136
59,Bachelor's,Healthcare,2,Suburban,34,Single,Part-time,4,Rent,Apartment,Female,Public transit,42585
44,Bachelor's,Healthcare,0,Urban,8,Married,Part-time,5,Own,Single-family home,Male,Car,71254
20,Master's,Others,3,Urban,25,Married,Full-time,6,Own,Single-family home,Male,Public transit,70194
26,Master's,Healthcare,4,Urban,3,Single,Full-time,3,Own,Apartment,Female,Public transit,715669
53,Bachelor's,Education,3,Suburban,11,Married,Full-time,2,Own,Single-family home,Male,Car,1485795
26,Master's,Healthcare,4,Urban,46,Married,Full-time,3,Own,Apartment,Female,Biking,69850
18,High School,Technology,2,Urban,37,Divorced,Full-time,7,Own,Apartment,Female,Car,70244
20,High School,Finance,0,Urban,22,Married,Part-time,4,Rent,Single-family home,Male,Walking,1707102
58,Bachelor's,Healthcare,3,Urban,46,Single,Full-time,7,Own,Townhouse,Male,Public transit,32985
53,High School,Others,2,Urban,43,Married,Part-time,2,Own,Townhouse,Female,Biking,72764
38,Bachelor's,Others,1,Suburban,26,Married,Full-time,1,Own,Apartment,Male,Biking,71734
29,Master's,Healthcare,0,Suburban,40,Single,Self-employed,5,Rent,Single-family home,Female,Public transit,68854
45,Master's,Healthcare,0,Urban,31,Single,Full-time,7,Own,Single-family home,Male,Public transit,70668
51,Bachelor's,Technology,0,Urban,42,Married,Full-time,2,Rent,Single-family home,Male,Public transit,75392
26,Bachelor's,Technology,3,Urban,24,Married,Part-time,3,Rent,Apartment,Male,Biking,39937
32,Master's,Healthcare,2,Urban,2,Married,Self-employed,1,Own,Apartment,Female,Car,8201655
29,Master's,Education,4,Urban,3,Single,Self-employed,4,Own,Apartment,Male,Public transit,539886
64,Bachelor's,Finance,2,Urban,4,Married,Self-employed,2,Rent,Townhouse,Female,Public transit,9796430
30,High School,Technology,2,Urban,4,Single,Part-time,6,Rent,Apartment,Female,Public transit,401371
25,Master's,Education,5,Rural,16,Divorced,Full-time,6,Own,Townhouse,Female,Public transit,1808827
70,High School,Others,0,Urban,30,Single,Self-employed,7,Own,Single-family home,Male,Public transit,66740
20,Bachelor's,Technology,0,Urban,27,Married,Full-time,1,Rent,Apartment,Male,Public transit,2397608
45,High School,Healthcare,1,Urban,32,Single,Self-employed,2,Rent,Single-family home,Female,Car,65242
35,Bachelor's,Finance,5,Urban,11,Single,Full-time,2,Own,Single-family home,Male,Public transit,66752
30,High School,Technology,4,Suburban,39,Married,Part-time,1,Rent,Apartment,Male,Public transit,39512
22,High School,Technology,2,Urban,48,Married,Self-employed,5,Own,Single-family home,Female,Biking,170677
58,Bachelor's,Technology,2,Rural,26,Married,Full-time,1,Own,Single-family home,Male,Car,71674
37,Bachelor's,Others,3,Suburban,42,Married,Full-time,1,Own,Apartment,Male,Car,65826
22,High School,Technology,5,Suburban,5,Divorced,Part-time,5,Rent,Apartment,Male,Car,135880
31,High School,Technology,2,Urban,23,Single,Part-time,4,Own,Townhouse,Male,Biking,72244
63,Master's,Technology,3,Urban,1,Single,Part-time,6,Own,Apartment,Female,Walking,157715
66,Bachelor's,Technology,2,Suburban,28,Married,Self-employed,6,Rent,Townhouse,Female,Biking,65088
56,Bachelor's,Finance,4,Urban,6,Single,Full-time,4,Rent,Apartment,Male,Public transit,65068
41,High School,Finance,3,Urban,47,Married,Full-time,5,Rent,Single-family home,Male,Car,69308
59,Bachelor's,Technology,0,Urban,33,Single,Full-time,2,Own,Single-family home,Male,Car,66480
41,High School,Education,4,Urban,28,Single,Part-time,5,Own,Townhouse,Male,Biking,71384
22,Bachelor's,Education,5,Urban,4,Single,Self-employed,3,Rent,Apartment,Female,Car,133733
38,High School,Others,5,Suburban,9,Married,Self-employed,1,Rent,Townhouse,Male,Public transit,73828
61,Bachelor's,Others,2,Urban,25,Married,Part-time,6,Own,Single-family home,Male,Public transit,71376
29,Bachelor's,Others,5,Urban,26,Married,Full-time,2,Own,Single-family home,Male,Car,66052
21,Master's,Technology,2,Urban,27,Single,Self-employed,5,Rent,Apartment,Female,Public transit,71904
36,High School,Healthcare,1,Urban,27,Single,Part-time,1,Rent,Apartment,Male,Car,75326
31,Master's,Others,5,Urban,38,Single,Part-time,3,Rent,Single-family home,Female,Car,54820
56,High School,Finance,2,Urban,29,Married,Full-time,4,Rent,Single-family home,Female,Public transit,69408
35,High School,Technology,2,Urban,20,Single,Part-time,3,Rent,Single-family home,Female,Public transit,104430
69,Bachelor's,Others,4,Urban,5,Married,Part-time,1,Own,Single-family home,Male,Public transit,50710
43,Bachelor's,Healthcare,5,Urban,40,Married,Full-time,6,Own,Townhouse,Male,Public transit,69944
35,Bachelor's,Technology,0,Urban,41,Single,Full-time,2,Own,Apartment,Female,Car,73612
36,High School,Healthcare,4,Urban,9,Married,Part-time,3,Rent,Apartment,Male,Walking,141678
46,Bachelor's,Healthcare,1,Urban,12,Married,Full-time,3,Rent,Single-family home,Male,Biking,467216
40,High School,Technology,3,Suburban,24,Married,Self-employed,7,Rent,Townhouse,Female,Public transit,70098
55,Bachelor's,Finance,5,Suburban,4,Divorced,Self-employed,2,Rent,Single-family home,Female,Public transit,406652
70,Bachelor's,Healthcare,3,Urban,21,Single,Full-time,6,Own,Apartment,Male,Car,68940
44,Bachelor's,Healthcare,5,Urban,39,Single,Part-time,4,Rent,Single-family home,Male,Car,118144
56,High School,Education,0,Urban,26,Divorced,Part-time,6,Own,Apartment,Male,Public transit,3156436
56,Master's,Healthcare,5,Urban,21,Married,Full-time,2,Rent,Apartment,Female,Biking,83021
57,High School,Healthcare,4,Urban,29,Married,Part-time,5,Rent,Apartment,Male,Car,66420
22,High School,Technology,0,Urban,23,Married,Part-time,7,Own,Single-family home,Female,Car,71076
40,Master's,Technology,4,Urban,12,Married,Full-time,3,Own,Townhouse,Male,Public transit,74224
66,Bachelor's,Healthcare,3,Urban,50,Divorced,Self-employed,3,Own,Single-family home,Male,Public transit,38856
56,High School,Healthcare,5,Urban,31,Single,Full-time,5,Own,Apartment,Male,Walking,72382
66,Master's,Others,2,Urban,13,Single,Self-employed,3,Rent,Single-family home,Male,Public transit,991876
30,Master's,Education,2,Urban,33,Married,Part-time,5,Own,Townhouse,Male,Walking,70804
48,High School,Healthcare,2,Urban,13,Single,Self-employed,2,Own,Single-family home,Female,Public transit,67218
63,Master's,Technology,0,Suburban,24,Married,Self-employed,1,Own,Single-family home,Female,Public transit,91729
35,Master's,Others,2,Urban,21,Married,Full-time,1,Rent,Single-family home,Male,Biking,398402
29,Bachelor's,Technology,4,Urban,48,Married,Full-time,3,Own,Single-family home,Female,Car,74328
36,Master's,Healthcare,2,Urban,48,Single,Self-employed,1,Own,Single-family home,Female,Public transit,484630
40,Bachelor's,Education,3,Urban,37,Married,Full-time,5,Own,Townhouse,Male,Public transit,65448
25,Master's,Healthcare,3,Urban,34,Single,Part-time,5,Rent,Single-family home,Female,Car,541941
61,High School,Healthcare,4,Urban,8,Married,Self-employed,5,Rent,Single-family home,Male,Car,71448
62,Bachelor's,Healthcare,0,Urban,50,Married,Part-time,3,Own,Apartment,Female,Car,68912
20,Master's,Technology,4,Suburban,37,Married,Full-time,1,Own,Townhouse,Female,Biking,65334
65,High School,Healthcare,3,Urban,9,Single,Part-time,4,Own,Single-family home,Female,Public transit,846524
60,Master's,Healthcare,5,Rural,11,Married,Part-time,1,Own,Apartment,Male,Biking,66504
28,Bachelor's,Technology,5,Suburban,25,Married,Full-time,5,Own,Apartment,Male,Public transit,67960
64,Bachelor's,Technology,5,Urban,44,Married,Part-time,7,Rent,Single-family home,Male,Public transit,948769
24,High School,Technology,3,Urban,23,Married,Part-time,5,Rent,Townhouse,Male,Public transit,562108
62,Bachelor's,Education,5,Urban,6,Married,Full-time,1,Own,Apartment,Male,Public transit,46721
57,High School,Education,5,Urban,29,Married,Part-time,4,Rent,Townhouse,Male,Public transit,72484
26,Doctorate,Education,3,Urban,23,Divorced,Self-employed,4,Own,Single-family home,Male,Car,3079107
52,High School,Education,3,Urban,2,Single,Full-time,7,Own,Townhouse,Female,Biking,80776
31,High School,Others,5,Urban,26,Married,Part-time,2,Own,Single-family home,Female,Public transit,1563443
66,Master's,Healthcare,1,Urban,7,Married,Part-time,6,Own,Apartment,Male,Car,7713427
66,High School,Others,4,Urban,21,Married,Self-employed,7,Rent,Single-family home,Male,Walking,85745
52,High School,Healthcare,1,Rural,22,Married,Part-time,2,Own,Townhouse,Female,Public transit,3732150
32,Bachelor's,Healthcare,1,Urban,22,Single,Self-employed,1,Rent,Apartment,Female,Public transit,1997152
64,Master's,Healthcare,5,Suburban,12,Divorced,Full-time,7,Own,Single-family home,Female,Car,73930
52,Bachelor's,Technology,1,Urban,30,Single,Part-time,1,Own,Apartment,Female,Car,69606
25,Bachelor's,Others,1,Urban,18,Single,Part-time,2,Own,Townhouse,Female,Public transit,64894
42,High School,Healthcare,0,Suburban,38,Married,Part-time,7,Rent,Single-family home,Male,Public transit,555011
24,High School,Finance,5,Urban,32,Married,Full-time,6,Own,Single-family home,Male,Car,74406
54,Bachelor's,Technology,4,Urban,11,Married,Full-time,3,Own,Apartment,Male,Public transit,75450
30,High School,Technology,3,Urban,42,Married,Full-time,5,Own,Apartment,Female,Car,74610
46,Bachelor's,Others,4,Urban,21,Single,Part-time,6,Own,Townhouse,Male,Car,75144
62,Bachelor's,Healthcare,0,Urban,18,Married,Part-time,3,Rent,Single-family home,Female,Public transit,211933
26,Bachelor's,Technology,5,Urban,7,Single,Part-time,7,Own,Apartment,Female,Car,505788
52,Master's,Others,1,Urban,25,Single,Part-time,1,Own,Apartment,Male,Public transit,73514
38,Bachelor's,Finance,5,Urban,30,Single,Full-time,4,Rent,Apartment,Female,Public transit,1401974
29,Bachelor's,Education,4,Suburban,35,Single,Self-employed,4,Own,Single-family home,Female,Car,71212
42,Bachelor's,Healthcare,2,Urban,36,Single,Self-employed,1,Own,Apartment,Female,Car,72614
27,High School,Education,3,Urban,19,Married,Full-time,1,Own,Apartment,Male,Public transit,1067401
29,High School,Healthcare,2,Suburban,44,Married,Full-time,5,Own,Townhouse,Male,Walking,72530
25,Bachelor's,Others,0,Urban,17,Single,Part-time,4,Own,Single-family home,Male,Biking,73050
56,High School,Technology,4,Urban,16,Married,Full-time,7,Own,Apartment,Female,Public transit,66018
21,Bachelor's,Technology,2,Urban,14,Married,Part-time,4,Own,Apartment,Female,Car,71022
49,Bachelor's,Healthcare,2,Urban,8,Single,Full-time,3,Own,Single-family home,Female,Biking,66862
46,High School,Technology,3,Urban,49,Married,Self-employed,4,Rent,Townhouse,Female,Public transit,66324
49,Bachelor's,Healthcare,3,Urban,12,Single,Full-time,3,Own,Apartment,Male,Car,66384
55,Master's,Finance,2,Urban,25,Single,Full-time,4,Rent,Townhouse,Female,Car,70672
44,Bachelor's,Healthcare,5,Urban,27,Single,Part-time,3,Own,Apartment,Male,Car,4503862
61,Bachelor's,Healthcare,5,Urban,5,Married,Part-time,6,Own,Apartment,Male,Public transit,43789
50,Master's,Others,4,Suburban,24,Single,Full-time,2,Own,Single-family home,Male,Public transit,74458
61,Bachelor's,Finance,0,Rural,34,Divorced,Part-time,6,Rent,Single-family home,Female,Public transit,66696
37,Master's,Technology,2,Urban,8,Single,Part-time,3,Own,Apartment,Female,Biking,75190
33,Master's,Technology,2,Urban,3,Married,Full-time,1,Own,Apartment,Female,Car,67164
69,Master's,Healthcare,1,Urban,7,Married,Full-time,1,Rent,Townhouse,Male,Biking,4995199
30,Bachelor's,Healthcare,4,Urban,31,Single,Full-time,3,Rent,Apartment,Male,Biking,88789
61,Master's,Finance,4,Urban,39,Married,Self-employed,2,Own,Townhouse,Female,Public transit,73828
61,Bachelor's,Healthcare,2,Suburban,30,Married,Full-time,1,Own,Apartment,Female,Public transit,71166
53,Master's,Others,5,Suburban,43,Single,Self-employed,2,Rent,Apartment,Male,Car,728777
32,Bachelor's,Technology,5,Suburban,4,Single,Part-time,3,Own,Single-family home,Female,Biking,149554
29,High School,Education,0,Urban,32,Divorced,Full-time,2,Rent,Apartment,Male,Car,53281
49,Bachelor's,Education,4,Rural,4,Single,Self-employed,4,Rent,Apartment,Male,Biking,371132
43,Bachelor's,Finance,0,Urban,39,Single,Part-time,5,Own,Single-family home,Male,Public transit,33186
48,Master's,Education,3,Urban,42,Married,Self-employed,4,Own,Townhouse,Female,Car,173349
49,Bachelor's,Technology,4,Urban,12,Married,Full-time,4,Rent,Single-family home,Male,Walking,236906
52,High School,Others,2,Urban,0,Married,Full-time,3,Rent,Single-family home,Female,Car,67064
57,High School,Healthcare,2,Urban,11,Single,Full-time,6,Own,Townhouse,Female,Public transit,65332
23,Bachelor's,Healthcare,4,Urban,22,Married,Full-time,5,Own,Apartment,Male,Walking,71176
49,High School,Education,1,Urban,1,Single,Full-time,5,Own,Single-family home,Female,Public transit,42056
58,Master's,Education,1,Urban,22,Married,Full-time,5,Rent,Apartment,Male,Public transit,148688
23,High School,Finance,5,Suburban,33,Single,Full-time,2,Own,Apartment,Female,Public transit,74570
62,High School,Education,5,Urban,40,Single,Full-time,7,Rent,Townhouse,Male,Public transit,445385
20,Master's,Technology,5,Suburban,2,Single,Self-employed,2,Own,Townhouse,Female,Public transit,74784
26,High School,Healthcare,4,Urban,44,Single,Full-time,6,Own,Apartment,Male,Public transit,71618
39,Master's,Technology,3,Urban,29,Married,Self-employed,2,Own,Single-family home,Male,Public transit,287640
43,Master's,Technology,4,Urban,50,Divorced,Full-time,5,Own,Single-family home,Male,Walking,55866
61,Bachelor's,Finance,3,Urban,12,Divorced,Self-employed,3,Own,Single-family home,Male,Car,69020
57,Master's,Education,5,Urban,4,Married,Part-time,1,Rent,Apartment,Female,Biking,72102
22,Bachelor's,Healthcare,3,Urban,3,Single,Part-time,6,Rent,Apartment,Female,Public transit,45303
18,Bachelor's,Education,5,Urban,17,Married,Self-employed,2,Own,Apartment,Male,Walking,9531299
26,Master's,Technology,0,Urban,1,Single,Part-time,5,Rent,Apartment,Male,Public transit,8305548
24,Doctorate,Healthcare,3,Urban,13,Married,Self-employed,2,Rent,Apartment,Male,Walking,68258
23,Bachelor's,Finance,1,Suburban,43,Single,Full-time,3,Rent,Apartment,Female,Public transit,72156
19,High School,Technology,5,Urban,48,Married,Full-time,6,Rent,Single-family home,Male,Public transit,3664186
25,High School,Healthcare,5,Suburban,15,Married,Part-time,7,Rent,Single-family home,Male,Public transit,70068
67,High School,Healthcare,1,Urban,27,Married,Self-employed,6,Own,Apartment,Male,Walking,72812
25,Master's,Technology,2,Rural,10,Divorced,Full-time,2,Own,Apartment,Female,Public transit,1483435
47,High School,Others,5,Urban,48,Married,Self-employed,3,Rent,Apartment,Male,Biking,100645
58,Bachelor's,Healthcare,3,Suburban,46,Married,Self-employed,1,Own,Single-family home,Female,Walking,69238
55,Bachelor's,Healthcare,3,Urban,28,Married,Full-time,6,Own,Single-family home,Male,Public transit,69812
31,Master's,Healthcare,0,Urban,19,Single,Full-time,2,Rent,Single-family home,Female,Car,8108664
27,Master's,Healthcare,3,Urban,12,Single,Full-time,5,Own,Townhouse,Male,Car,73020
21,High School,Finance,3,Urban,20,Married,Full-time,1,Rent,Apartment,Female,Car,224313
60,High School,Technology,3,Suburban,14,Single,Part-time,6,Rent,Townhouse,Male,Public transit,144721
21,High School,Healthcare,1,Urban,37,Married,Full-time,7,Own,Townhouse,Female,Public transit,71658
21,Bachelor's,Finance,1,Rural,50,Married,Full-time,6,Rent,Apartment,Female,Biking,68408
39,Master's,Finance,4,Urban,15,Single,Part-time,4,Own,Apartment,Male,Walking,71294
60,High School,Education,4,Urban,14,Single,Self-employed,4,Own,Apartment,Male,Walking,2952738
27,High School,Education,2,Rural,23,Married,Self-employed,4,Own,Apartment,Female,Car,244145
57,Bachelor's,Education,2,Urban,40,Married,Part-time,7,Own,Single-family home,Female,Car,68434
29,High School,Healthcare,2,Suburban,36,Married,Self-employed,4,Own,Apartment,Female,Car,70556
47,Bachelor's,Technology,2,Rural,6,Married,Self-employed,1,Rent,Apartment,Female,Walking,48094
33,Master's,Finance,1,Rural,6,Married,Full-time,5,Own,Single-family home,Male,Car,66452
57,Bachelor's,Others,1,Urban,35,Single,Part-time,3,Own,Apartment,Male,Car,69550
61,Bachelor's,Education,4,Urban,48,Married,Part-time,4,Own,Apartment,Female,Public transit,5939649
65,Bachelor's,Technology,0,Urban,31,Married,Part-time,3,Own,Single-family home,Male,Public transit,65448
28,Bachelor's,Technology,3,Urban,23,Married,Self-employed,5,Own,Single-family home,Male,Car,70446
65,Master's,Technology,1,Urban,6,Divorced,Full-time,2,Rent,Single-family home,Female,Public transit,2135071
28,High School,Healthcare,4,Urban,27,Single,Part-time,7,Rent,Townhouse,Female,Car,147959
25,High School,Healthcare,0,Suburban,44,Married,Full-time,2,Own,Apartment,Male,Biking,69916
33,Master's,Technology,3,Suburban,49,Single,Full-time,4,Rent,Townhouse,Female,Biking,71746
69,Bachelor's,Technology,4,Urban,24,Single,Full-time,3,Rent,Townhouse,Male,Public transit,66760
48,Bachelor's,Others,2,Suburban,20,Divorced,Full-time,6,Own,Townhouse,Male,Public transit,74694
53,High School,Education,4,Suburban,14,Married,Full-time,7,Own,Apartment,Female,Biking,60074
26,Bachelor's,Healthcare,0,Suburban,7,Married,Part-time,4,Own,Apartment,Male,Car,328727
53,Bachelor's,Technology,3,Suburban,47,Married,Full-time,5,Own,Apartment,Male,Public transit,68156
40,High School,Others,3,Urban,2,Married,Part-time,3,Own,Single-family home,Male,Biking,2500967
60,Master's,Healthcare,4,Urban,11,Married,Full-time,6,Own,Single-family home,Male,Car,65102
49,High School,Finance,3,Urban,14,Married,Full-time,6,Rent,Single-family home,Female,Walking,725997
30,Bachelor's,Technology,3,Urban,45,Single,Part-time,4,Own,Apartment,Female,Car,68612
32,Bachelor's,Education,0,Urban,2,Married,Self-employed,4,Rent,Single-family home,Male,Car,67524
60,Bachelor's,Others,3,Urban,31,Married,Self-employed,3,Rent,Apartment,Male,Public transit,162928
47,Bachelor's,Healthcare,0,Urban,31,Single,Full-time,5,Rent,Apartment,Female,Public transit,753292
66,Bachelor's,Healthcare,0,Urban,47,Single,Full-time,3,Rent,Single-family home,Female,Biking,69158
43,Bachelor's,Healthcare,3,Urban,38,Single,Part-time,6,Own,Single-family home,Male,Public transit,68588
42,High School,Technology,3,Urban,44,Married,Part-time,7,Own,Apartment,Male,Walking,68236
55,Bachelor's,Finance,3,Suburban,37,Married,Part-time,7,Own,Apartment,Female,Car,65008
62,High School,Technology,4,Urban,23,Single,Self-employed,1,Own,Apartment,Male,Car,73752
62,Master's,Healthcare,4,Urban,13,Divorced,Self-employed,7,Rent,Single-family home,Male,Car,1893747
32,High School,Healthcare,2,Urban,11,Married,Self-employed,7,Own,Apartment,Male,Public transit,70546
42,Master's,Technology,0,Urban,43,Single,Part-time,4,Own,Apartment,Male,Car,72930
41,Master's,Technology,2,Urban,30,Married,Full-time,6,Rent,Single-family home,Male,Public transit,71808
24,Master's,Healthcare,4,Urban,26,Single,Self-employed,6,Own,Single-family home,Male,Public transit,65836
64,Doctorate,Healthcare,3,Suburban,23,Single,Self-employed,1,Own,Single-family home,Female,Walking,3256319
50,Bachelor's,Healthcare,3,Urban,8,Married,Self-employed,6,Rent,Apartment,Female,Biking,70312
37,High School,Technology,4,Urban,33,Single,Full-time,4,Own,Apartment,Female,Public transit,66886
36,Bachelor's,Healthcare,0,Urban,27,Single,Self-employed,2,Own,Apartment,Female,Car,71504
33,High School,Others,2,Urban,49,Married,Full-time,7,Own,Townhouse,Male,Car,74758
60,High School,Others,5,Urban,49,Single,Part-time,5,Own,Apartment,Female,Public transit,1332533
70,Doctorate,Healthcare,1,Urban,36,Single,Part-time,6,Own,Single-family home,Male,Public transit,3202560
57,Bachelor's,Healthcare,2,Suburban,8,Married,Part-time,3,Own,Single-family home,Female,Car,721103
37,High School,Healthcare,1,Rural,13,Married,Part-time,2,Rent,Single-family home,Female,Biking,68108
40,Master's,Others,2,Urban,46,Married,Full-time,2,Rent,Townhouse,Male,Biking,74738
40,Master's,Finance,0,Rural,37,Married,Full-time,3,Own,Townhouse,Female,Car,58813
34,Master's,Finance,3,Urban,50,Married,Self-employed,6,Own,Apartment,Female,Public transit,1342174
36,Master's,Education,4,Urban,24,Single,Self-employed,3,Rent,Townhouse,Male,Public transit,71588
61,Bachelor's,Education,1,Urban,10,Divorced,Part-time,4,Own,Apartment,Male,Biking,426448
63,High School,Technology,2,Suburban,44,Married,Full-time,6,Own,Single-family home,Male,Public transit,68198
53,High School,Others,3,Suburban,49,Married,Part-time,3,Own,Single-family home,Male,Car,4384047
65,Bachelor's,Healthcare,3,Suburban,36,Married,Full-time,4,Rent,Townhouse,Male,Public transit,72446
23,Bachelor's,Healthcare,2,Rural,18,Married,Full-time,2,Rent,Apartment,Male,Public transit,73906
62,High School,Technology,1,Urban,3,Married,Full-time,7,Own,Single-family home,Male,Public transit,68774
22,Master's,Healthcare,3,Urban,24,Single,Self-employed,7,Own,Apartment,Female,Car,68302
25,High School,Technology,1,Rural,5,Single,Self-employed,6,Own,Single-family home,Female,Car,2981240
70,High School,Healthcare,1,Rural,4,Married,Self-employed,6,Own,Single-family home,Male,Biking,399394
52,Master's,Technology,5,Urban,12,Single,Full-time,3,Own,Single-family home,Male,Public transit,69652
47,Doctorate,Technology,5,Urban,22,Married,Full-time,3,Rent,Single-family home,Female,Public transit,68764
39,Master's,Education,3,Urban,17,Single,Full-time,7,Own,Single-family home,Female,Biking,74472
68,Bachelor's,Healthcare,3,Urban,17,Married,Full-time,7,Own,Single-family home,Female,Public transit,69124
48,Master's,Education,1,Rural,30,Single,Full-time,5,Own,Townhouse,Male,Walking,65512
56,Bachelor's,Technology,4,Urban,4,Married,Full-time,5,Rent,Townhouse,Female,Biking,115293
56,Bachelor's,Finance,2,Urban,4,Single,Full-time,4,Own,Townhouse,Female,Public transit,74448
37,Bachelor's,Others,3,Urban,27,Married,Full-time,6,Rent,Single-family home,Male,Biking,128419
43,Master's,Healthcare,3,Urban,43,Single,Self-employed,6,Own,Single-family home,Male,Biking,130354
69,Master's,Finance,0,Urban,14,Single,Full-time,7,Own,Single-family home,Female,Car,153996
32,High School,Technology,3,Urban,5,Married,Self-employed,5,Own,Single-family home,Male,Walking,67070
52,Master's,Healthcare,4,Urban,38,Married,Self-employed,1,Rent,Apartment,Male,Walking,4066289
64,Bachelor's,Others,4,Urban,49,Married,Part-time,7,Own,Single-family home,Female,Walking,71598
39,Bachelor's,Technology,1,Urban,14,Single,Self-employed,3,Own,Single-family home,Male,Car,68544
54,High School,Technology,5,Urban,44,Single,Full-time,1,Rent,Apartment,Female,Public transit,271043
19,High School,Healthcare,4,Urban,49,Married,Self-employed,2,Rent,Apartment,Female,Public transit,845328
54,Bachelor's,Finance,4,Urban,50,Single,Full-time,6,Rent,Apartment,Female,Car,9829436
19,High School,Healthcare,2,Urban,34,Married,Part-time,4,Own,Townhouse,Male,Biking,73732
48,Bachelor's,Others,5,Urban,10,Divorced,Full-time,1,Own,Single-family home,Male,Car,1923434
26,Bachelor's,Technology,3,Suburban,34,Divorced,Full-time,6,Own,Townhouse,Male,Walking,65990
21,High School,Technology,5,Urban,9,Single,Full-time,2,Rent,Apartment,Female,Public transit,8864254
41,High School,Healthcare,1,Urban,21,Single,Full-time,3,Own,Apartment,Female,Public transit,71940
